# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.IDENTIFIED_UNIDENTIFIED_COMPOUNDS.Pooled blood neg_2018_Aug_03_09_33_45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Fri Aug 03 09:36:41 EDT 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MB1,MB2,MB3,53_T1,53_T2,53_T3,54_T1,54_T2,54_T3,55_T1,55_T2,55_T3,56_T1,56_T2,56_T3,57_T1,57_T2,57_T3,58_T1,58_T2,58_T3,59_T1,59_T2,59_T3,60_T1,60_T2,60_T3,45_T1,45_T2,45_T3,46_T1,46_T2,46_T3,47_T1,47_T2,47_T3,48_T1,48_T2,48_T3,49_T1,49_T2,49_T3,50_T1,50_T2,50_T3,51_T1,51_T2,51_T3,52_T1,52_T2,52_T3,Alignment Value,Annotations,CAS Number,ChEBI ID,Compound Name,CompoundAlgo,Formula,Frequency,Ionization mode,Mass,MS1 Composite Spectrum,Retention Time
C21H32N4O3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,271597,240730,1,1,82392,1,1,1,1,1,1,1,1,1,79870,43234,57505,92085,1,156319,1,112014,1,1,,"C21H32N4O3 [ C21 H32 N4 O3, tgt=, overall=97.51, db=97.51 ]",,,C21H32N4O3,FindByFormula,C21 H32 N4 O3,51,,388.2509,"(387.2398, 22466.93)(388.2433, 4914.08)(389.2446, 964.26)",8.886996
958.7539@14.986004,1,1,1,356389,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,402119,1,1,41176,1,1,1,1,1,1,1,1,1,1,1,1,45112,1,46862,1,1,1,1,1,1,1,1,1,275695,1,174966,,,,,958.7539@14.986004,FindByFormula,,51,,958.7539,"(957.7488, 9057.84)(958.7524, 5576.98)(959.7574, 2638.22)(960.761, 931.49)",14.986004
548.4579@12.893004,1,1,1,1,1,80683,1,1,1,1,1,1,75400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,272245,415470,461241,1,1,579960,166139,67209,69482,568795,160256,645848,1,1,92773,116382,552496,129862,1,1,1,1,1,1,,,,,548.4579@12.893004,FindByFormula,,51,,548.4579,"(547.4446, 10069.69)(548.4483, 3593.45)",12.893004
C40H62O15,1,1,1,134456,118819,146023,167062,61250,173814,155048,118252,148652,77641,64499,52376,53511,146123,67954,112605,29802,144512,92340,146169,128284,72959,80793,75962,71114,182373,1,1,417711,1,1,23130,190062,1,1,1,98570,155115,253976,240494,255858,235200,176567,138634,218389,78986,83411,46541,,"C40H62O15 [ C40 H62 O15, tgt=, overall=93.40, db=93.40 ]",,,C40H62O15,FindByFormula,C40 H62 O15,51,,782.4145,"(781.4034, 27139.22)(782.4066, 10422.9)(783.4087, 2709.16)(784.4115, 511.21)",7.6740017
530.4398@13.1729965,1,1,1,38280,1,55432,1,1,1,1,1,1,62296,50469,1,42856,41913,40461,1,1,1,1,1,62527,1,37689,1,69212,142916,332802,1,1,326343,98220,30931,1,461954,88405,480743,1,1,47574,55041,294333,65427,1,1,1,1,1,44080,,,,,530.4398@13.1729965,FindByFormula,,51,,530.4398,"(529.4362, 14256.22)(530.4394, 5080.66)",13.1729965
827.6685@13.869001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,69254,161381,391572,1,1,78700,139218,1,1,91184,61234,79757,1,1,1,41161,44429,1,1,1,1,1,1,68960,,,,,827.6685@13.869001,FindByFormula,,49,,827.6685,"(826.6477, 20908.35)(827.6507, 11005.78)(828.6535, 3430.18)(829.6559, 954.01)",13.869001
C29H40N2O3,1,1,1,77753,67574,121941,82199,45022,79531,71478,64447,95469,151923,132850,102071,82270,124405,92833,90989,45163,112848,60066,87050,99713,82959,69395,74269,82727,172948,358320,1,79111,167127,176047,87335,110448,133819,66500,100223,64260,56703,99015,145940,294944,86732,23431,42104,37482,88073,40791,37747,,"C29H40N2O3 [ C29 H40 N2 O3, tgt=, overall=59.84, db=59.84 ]",,,C29H40N2O3,FindByFormula,C29 H40 N2 O3,51,,464.3088,"(463.2934, 23210.16)(464.2968, 6100.34)",11.976995
1264.873@13.974996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,86720,168032,362702,1,1,51500,73995,1,1,58737,38227,52642,1,1,1,31942,32663,1,1,1,1,1,1,35116,,,,,1264.873@13.974996,FindByFormula,,51,,1264.873,"(1263.842, 18302.23)(1264.8453, 13099.07)(1265.8481, 5394.2)(1266.851, 1674.52)",13.974996
C17H14O5,1,1,1,1,1,1,1,1,1,235973,193191,235433,22789,20051,19109,64896,59007,66313,1,1,1,89029,107654,113195,114210,118461,103473,1,1,1,1,277431,42997,71164,130390,316404,1,1,1,255083,300954,377431,1,1,1,153046,137258,209282,290562,292510,263684,,"C17H14O5 [ C17 H14 O5, tgt=, overall=95.11, db=95.11 ]",,,C17H14O5,FindByFormula,C17 H14 O5,51,,298.0839,"(297.0779, 33014.34)(298.0814, 5498.12)(299.0836, 786.45)",8.907996
C28H40O10,1,1,1,61477,50132,58721,37772,18006,39498,33344,24489,32472,70481,57995,41205,49875,103163,66727,65727,25315,75620,81370,111000,124114,49137,53014,45853,1,17536,1,1,104030,1,1,23123,111234,1,12116,1,78170,113205,180642,200545,234638,214824,248615,208399,344475,116192,97463,43285,,"C28H40O10 [ C28 H40 O10, tgt=, overall=76.97, db=76.97 ]",,,C28H40O10,FindByFormula,C28 H40 O10,51,,536.2678,"(535.2557, 41674.08)(536.2589, 11968.4)",8.8099985
C25H52O4S2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,263415,383810,7081,1,1,24729,1,1,1,19413,1,28505,1,1,65753,96041,355666,141054,1,1,1,53392,30594,29572,,"C25H52O4S2 [ C25 H52 O4 S2, tgt=, overall=76.76, db=76.76 ]",,,C25H52O4S2,FindByFormula,C25 H52 O4 S2,51,,480.3478,"(479.3254, 4126.15)(480.3299, 1217.07)(481.318, 344.96)",12.6209955
C15H22O6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,258306,319080,1,1,33084,1,1,1,1,1,1,1,1,1,1,1,22645,1,1,1,1,1,1,1,,"C15H22O6 [ C15 H22 O6, tgt=, overall=83.91, db=83.91 ]",,,C15H22O6,FindByFormula,C15 H22 O6,51,,298.1444,"(297.1351, 34303.97)(298.1385, 5381.8)",7.1099963
C34H58O6,1,1,1,65920,56320,92244,57391,1,58562,64968,54807,72336,95686,81889,58245,75585,60914,1,1,1,63017,1,62932,81231,1,50524,48220,222624,284597,309558,1,1,391546,187879,69947,77693,417807,155496,478744,1,1,103082,129984,324677,125670,1,1,1,71254,58764,43153,,"C34H58O6 [ C34 H58 O6, tgt=, overall=45.80, db=45.80 ]",,,C34H58O6,FindByFormula,C34 H58 O6,51,,562.4259,"(561.4212, 13765.45)(562.4246, 4563.39)",12.493
C28H54O6S,1,1,1,62378,1,72870,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,229283,337353,87023,1,1,1,1,1,20680,1,1,1,1,67047,121889,151375,461280,151269,1,1,1,197689,93374,152722,,"C28H54O6S [ C28 H54 O6 S, tgt=, overall=88.46, db=88.46 ]",,,C28H54O6S,FindByFormula,C28 H54 O6 S,51,,518.3633,"(517.3566, 28528.66)(518.3583, 8052.62)(519.3654, 2268.51)",12.454998
C20H14N4 8.778006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,364248,25222,26838,1,1,1,634562,805228,894340,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,"C20H14N4 [ C20 H14 N4, tgt=, overall=82.69, db=82.69 ]",,,C20H14N4 8.778006,FindByFormula,C20 H14 N4,51,,310.1222,"(309.1145, 83701.06)(310.1177, 15618.83)",8.778006
C23H28N8O,1,1,1,94791,71356,156444,126541,76766,111400,133754,104114,119781,103712,89784,94657,27752,63478,44552,149922,36762,184766,118907,142924,133354,93830,34357,95463,127128,202018,1,1,378943,1,1,60707,163449,1,1,1,200286,153974,274067,231562,294379,251949,244637,216701,294074,183110,177828,61260,,"C23H28N8O [ C23 H28 N8 O, tgt=, overall=92.76, db=92.76 ]",,,C23H28N8O,FindByFormula,C23 H28 N8 O,51,,432.2403,"(431.2319, 29512.45)(432.2353, 6692.14)(433.2351, 1345.91)",9.046998
C42H83NO8P,1,1,1,388150,1,1,1,1,1,1,1,88329,1,1,1,1,1,1,1,1,725937,1,1,1,1,1,1,405692,802731,1,1,261246,53657,104111,1,1,114985,28408,108858,1,1,49837,103871,298403,131339,1,1,1,1978897,61997,397751,,"C42H83NO8P [ C42 H83 N O8 P, tgt=, overall=74.64, db=74.64 ]",,,C42H83NO8P,FindByFormula,C42 H83 N O8 P,50,,760.5908,"(759.5831, 77774.72)(760.5863, 33762.47)(761.5882, 10603.24)(762.587, 2668.44)",14.211996
1084.6829@15.291011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,236047,1,37265,250415,24369,22858,1,136913,54572,131185,1,1,1,1,380796,119495,1,1,1,1,1,1,,,,,1084.6829@15.291011,FindByFormula,,51,,1084.6829,"(1083.6793, 11784.61)(1084.6826, 6817.79)(1085.685, 2346.24)(1086.6881, 640.65)",15.291011
C9H19N2O3P,1,1,1,293295,275828,266428,269731,156635,272144,243911,183060,235947,165865,166679,168981,27434,235640,116779,272514,138948,320375,190908,262345,170801,211626,141956,217785,154619,288919,1,21395,433935,1,18091,66129,214184,19217,1,15361,227404,267879,294000,303236,300400,268175,345765,274673,403780,239113,256519,92203,,"C9H19N2O3P [ C9 H19 N2 O3 P, tgt=, overall=96.65, db=96.65 ]",,,C9H19N2O3P,FindByFormula,C9 H19 N2 O3 P,51,,234.1125,"(233.1052, 35507.58)(234.1082, 4151.78)(235.1102, 530.72)",4.559002
C68H74,1,1,1,1,1,17138,1,1,1,1,1,1,1,1,1,22653,26855,16081,172959,1,34241,1,42735,38425,1,1,1,95215,90024,133583,1,29124,326309,32477,53004,45684,49785,28043,59993,1,34520,63295,106110,320512,175964,20885,87022,20887,42244,30295,19074,,"C68H74 [ C68 H74, tgt=, overall=44.10, db=44.10 ]",,,C68H74,FindByFormula,C68 H74,51,,890.5663,"(889.5635, 20758.78)(890.5664, 10168.34)(891.5691, 3287.79)(892.571, 1032.82)",11.994996
C26H34N4O4,1,1,1,95615,76637,128398,122004,76144,125876,94769,72288,95902,100010,81992,66808,89983,164636,125547,105910,71961,131957,100763,130569,144816,70719,105716,72982,136633,209562,35735,1,296452,30190,34936,57625,203116,23469,50830,16590,103453,147560,222686,233646,291524,234916,192714,238952,328807,222598,206464,76296,,"C26H34N4O4 [ C26 H34 N4 O4, tgt=, overall=94.14, db=94.14 ]",,,C26H34N4O4,FindByFormula,C26 H34 N4 O4,51,,466.2604,"(931.5054, 1506.81)(932.5092, 736.83)(465.2507, 29314.1)(466.254, 7078.48)(467.2579, 1527.98)",10.433997
C18H22N4O3 8.764005,1,1,1,1873868,1801359,1921815,1914486,1489242,1905983,1703133,1565425,1627370,1490549,1409346,1342069,1402670,1793763,1463940,1577812,1230917,1735417,1519429,1665242,1614820,1490348,1504584,1432972,1361156,1527243,944954,254212,1938894,191672,595466,963978,1461388,525363,974889,546458,1353044,1434923,1530710,1370486,1349573,1280017,1468656,1374389,1566921,1450532,1478701,1406965,,"C18H22N4O3 [ C18 H22 N4 O3, tgt=, overall=92.36, db=92.36 ]",,,C18H22N4O3 8.764005,FindByFormula,C18 H22 N4 O3,51,,342.1705,"(341.162, 167226.73)(342.165, 25485.01)(343.167, 4065.32)",8.764005
C19H26N4O4,1,1,1,117894,104548,138383,138968,84721,138570,109943,89531,112104,92220,80824,71052,71989,189284,113106,142935,83935,179986,113637,154313,147233,84784,102412,83770,101620,180883,18464,1,307136,1,1,50091,119432,1,39461,1,96251,130865,214309,227998,263711,223294,228781,230078,344894,202544,186342,50107,,"C19H26N4O4 [ C19 H26 N4 O4, tgt=, overall=86.11, db=86.11 ]",,,C19H26N4O4,FindByFormula,C19 H26 N4 O4,51,,374.1994,"(373.1892, 27127.61)(374.1925, 5416.69)(375.1954, 973.02)",8.839997
C30H54O6,1,1,1,1,1,105975,1,1,1,1,1,1,108849,96316,1,1,1,1,1,1,1,1,1,1,1,1,1,124538,227690,256444,1,1,210316,70130,92151,107351,225244,65212,262062,1,1,127491,86441,259019,84326,1,1,1,1,23707,1,,"C30H54O6 [ C30 H54 O6, tgt=, overall=39.04, db=39.04 ]",,,C30H54O6,FindByFormula,C30 H54 O6,51,,510.397,"(509.3912, 29532.0)(510.3943, 9790.93)",12.4780035
677.3706@14.445006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,540491,431725,1,1,1,1,1,1,1,1,1,1,1,1,94525,137959,216609,81495,1,86395,1,1,1,1,,,,,677.3706@14.445006,FindByFormula,,51,,677.3706,"(676.3481, 7100.46)(677.3515, 2406.83)(678.3554, 658.86)",14.445006
C18H32O3 11.101995,1,1,1,210177,116122,262876,102783,75393,118742,78224,66740,118207,443921,363941,293728,387807,134757,99304,170430,60243,229123,89177,131166,174107,136799,76295,130725,2387557,2089695,1998926,63606,287251,224889,398743,307926,420353,1093004,625481,1066981,598611,768898,1909416,1285418,2959837,1647300,273487,1685222,219754,848974,1079284,601388,,"C18H32O3 [ C18 H32 O3, tgt=, overall=67.99, db=67.99 ]",,,C18H32O3 11.101995,FindByFormula,C18 H32 O3,51,,296.2371,"(295.2316, 200661.1)(296.2348, 34825.45)(297.2366, 5442.75)",11.101995
C22H34O10,1,1,1,105469,92703,99503,103636,36736,106847,86544,67087,80103,55440,46382,41626,31578,85026,37454,113206,34276,142774,73778,103008,93487,64913,63171,65105,49932,154545,1,1,337498,1,1,13162,111266,1,1,1,74108,112635,169495,178009,192725,170580,168780,131506,229210,113252,113977,57438,,"C22H34O10 [ C22 H34 O10, tgt=, overall=93.35, db=93.35 ]",,,C22H34O10,FindByFormula,C22 H34 O10,51,,458.2184,"(457.2092, 46112.51)(458.2122, 9365.7)(459.2131, 2038.02)",5.987
C17H24N4O3,1,1,1,49055,45804,41512,53275,31454,43983,52774,18466,81037,19512,19066,25938,1,96497,86103,58903,37322,67279,21930,85479,42503,126415,136450,124892,56060,77546,27209,1,139795,1,1,24118,56240,34413,53803,27377,117014,132244,162687,76654,76634,84988,294756,244048,360139,109864,110134,55903,,"C17H24N4O3 [ C17 H24 N4 O3, tgt=, overall=92.65, db=92.65 ]",,,C17H24N4O3,FindByFormula,C17 H24 N4 O3,51,,332.1883,"(331.1782, 34818.49)(332.1815, 5321.76)(333.1832, 1053.49)",9.0180025
C19H35N2O2P,1,1,1,1,1,1,1,1,1,1,1,1,45294,37782,38657,42501,1,1,1,1,1,1,1,1,1,1,1,361555,381338,123636,1,232869,25836,1,38684,26820,44383,76860,37255,57950,86052,179718,191881,258146,119820,108697,452816,67912,75334,86538,59275,,"C19H35N2O2P [ C19 H35 N2 O2 P, tgt=, overall=85.40, db=85.40 ]",,,C19H35N2O2P,FindByFormula,C19 H35 N2 O2 P,51,,354.2463,"(353.236, 21780.01)(354.2396, 4693.68)",9.97
C18H24N4O4,1,1,1,117762,105472,136281,133988,77913,134379,104104,90315,111491,87058,74519,71640,55928,181065,107866,137250,76743,168508,105327,146245,137953,87686,96306,87260,107800,175408,1,1,297179,1,1,36380,119439,1,23364,1,98308,129164,223323,234822,274912,238756,226970,229770,340768,158323,142980,28679,,"C18H24N4O4 [ C18 H24 N4 O4, tgt=, overall=95.80, db=95.80 ]",,,C18H24N4O4,FindByFormula,C18 H24 N4 O4,51,,360.183,"(359.1733, 29604.16)(360.1768, 5588.94)(361.1788, 1004.96)",8.557004
552.4071@12.374,1,1,1,1,1,46623,1,1,1,1,1,1,47702,1,1,1,1,32221,1,1,1,1,1,1,1,1,1,1,138544,1,1,1,73045,1,1,1,95028,1,106791,1,1,58507,105072,321593,1,1,1,1,1,35860,1,,,,,552.4071@12.374,FindByFormula,,48,,552.4071,"(551.4022, 15026.26)(552.4047, 5598.48)",12.374
C14H18O6 2.9559999,1,1,1,114376,59717,76883,43541,23691,43847,56540,12594,101073,1,15271,27546,1,96160,43863,42506,21765,68565,27517,59147,1,93841,56284,104630,1,1,1,1,295571,1,1,15795,213493,1,1,1,352472,343279,365715,52441,61177,46306,158994,91007,179279,42323,117954,16499,,"C14H18O6 [ C14 H18 O6, tgt=, overall=94.55, db=94.55 ]",,,C14H18O6 2.9559999,FindByFormula,C14 H18 O6,51,,282.1094,"(281.104, 50448.78)(282.1072, 6324.68)(283.1084, 955.46)",2.9559999
C26H54O4S2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,575222,1,1,129186,172200,1,1,121555,80976,95322,1,1,1,97712,266229,1,1,1,1,1,1,1,,"C26H54O4S2 [ C26 H54 O4 S2, tgt=, overall=78.85, db=78.85 ]",,,C26H54O4S2,FindByFormula,C26 H54 O4 S2,51,,494.3493,"(493.339, 9512.89)(494.3404, 3385.63)(495.3315, 1246.5)",12.0929985
C27H48O5,1,1,1,69602,67366,107955,108707,1,38385,77570,53799,72541,73244,1,68103,1,65976,1,1,1,119104,1,1,56839,26909,1,36605,112695,189291,110470,1,36121,121928,29113,37760,89504,125474,63712,142518,45990,34284,101937,79874,343235,121160,23110,42662,19628,88111,88774,78300,,"C27H48O5 [ C27 H48 O5, tgt=, overall=43.09, db=43.09 ]",,,C27H48O5,FindByFormula,C27 H48 O5,51,,452.3575,"(451.3487, 27344.55)(452.3515, 7574.72)",12.336998
C40H66O4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,165944,107661,93275,1,1,211261,1,1,1,175287,1,254168,1,1,1,1,371487,1,1,1,1,1,1,1,,"C40H66O4 [ C40 H66 O4, tgt=, overall=31.42, db=31.42 ]",,,C40H66O4,FindByFormula,C40 H66 O4,51,,610.4859,"(609.4813, 8211.82)(610.4849, 3020.11)",12.570004
C15H13F3N4O3,1,1,1,274096,259867,302358,286223,194722,336283,275320,258555,308747,239672,219554,207935,171840,211902,161024,295225,187285,347702,233118,257482,262058,235768,233922,235962,227866,312661,70092,1,415883,1,47985,126176,278315,27932,98243,35384,236053,271860,293788,351191,359037,358052,259281,242274,262993,271412,260523,215467,,"C15H13F3N4O3 [ C15 H13 F3 N4 O3, tgt=, overall=92.44, db=92.44 ]",,,C15H13F3N4O3,FindByFormula,C15 H13 F3 N4 O3,51,,354.0945,"(353.0861, 23043.77)(354.0897, 2998.35)(355.0921, 603.38)",5.99
587.3308@13.539996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,189895,1,87124,326850,33686,195055,57098,253810,146598,210831,66812,117716,218566,222556,481127,355222,1,125713,200743,1,1,1,,,,,587.3308@13.539996,FindByFormula,,51,,587.3308,"(586.3256, 8257.85)(587.3289, 2775.03)",13.539996
C22H34N6O7S,1,1,1,66617,62392,74138,50395,25392,51065,29093,23926,29943,1,1,1,1,70176,32373,64469,28792,79377,53877,75262,74038,1,1,1,19496,35157,1,1,158396,1,1,1,1,1,1,1,27740,35819,61689,1,1,1,281417,245225,356229,178796,182652,57561,,"C22H34N6O7S [ C22 H34 N6 O7 S, tgt=, overall=92.36, db=92.36 ]",,,C22H34N6O7S,FindByFormula,C22 H34 N6 O7 S,51,,526.2228,"(525.2136, 21356.02)(526.2169, 6097.91)(527.2082, 1936.82)(528.207, 397.85)",7.653004
1017.7612@13.991005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,84051,185443,361220,1,24648,53812,78760,1,1,71949,53235,69748,1,1,1,38786,36788,19528,1,1,1,1,1,48378,,,,,1017.7612@13.991005,FindByFormula,,48,,1017.7612,"(1016.7345, 21247.07)(1017.7378, 12856.64)(1018.7408, 4420.23)(1019.7439, 1312.6)",13.991005
C19H28N4 14.2269945,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,172849,327314,1,1,32706,1,1,1,1,1,1,1,1,1,1,51719,207215,40768,1,1,1,42046,1,17306,,"C19H28N4 [ C19 H28 N4, tgt=, overall=77.90, db=77.90 ]",,,C19H28N4 14.2269945,FindByFormula,C19 H28 N4,51,,312.2331,"(311.2256, 35236.92)(312.2286, 6746.78)",14.2269945
C34H56O6,1,1,1,70194,56681,95801,59706,1,62570,61334,56414,64646,96035,84263,62939,78262,1,1,50533,1,64600,52572,61647,85460,54843,1,54876,111975,181297,284529,1,1,375979,201088,69501,77515,380917,131840,449928,1,1,97999,77104,227009,72946,1,1,1,77671,76737,1,,"C34H56O6 [ C34 H56 O6, tgt=, overall=48.50, db=48.50 ]",,,C34H56O6,FindByFormula,C34 H56 O6,51,,560.4096,"(559.4052, 13658.92)(560.4085, 4726.87)",12.508996
C24H23F3N2O3,1,1,1,147273,143084,66652,133369,93361,155018,70493,38206,189706,72800,78582,38700,1,139343,107879,146809,76476,173340,35995,162518,62017,121338,109878,135442,1,26766,1,1,230376,1,1,51101,210752,1,1,1,217035,236421,343323,182299,195578,181999,245687,205101,332927,208474,161339,110416,,"C24H23F3N2O3 [ C24 H23 F3 N2 O3, tgt=, overall=91.91, db=91.91 ]",,,C24H23F3N2O3,FindByFormula,C24 H23 F3 N2 O3,51,,444.1693,"(443.1586, 26319.45)(444.1618, 5367.69)(445.1639, 1201.83)",9.127006
C11H21N4O8P,1,1,1,265574,261034,277937,291171,202044,291944,296337,269573,281482,238327,216181,209216,231952,310155,237508,302820,193694,315062,253965,278650,283878,232151,234344,230434,184901,250207,77938,20526,348671,1,61841,133206,287084,38988,113485,46471,240065,268783,293295,295699,303405,310350,335674,299611,349265,246020,253672,232987,,"C11H21N4O8P [ C11 H21 N4 O8 P, tgt=, overall=92.22, db=92.22 ]",,,C11H21N4O8P,FindByFormula,C11 H21 N4 O8 P,51,,368.1103,"(367.1007, 31258.91)(368.1043, 4536.82)(369.1067, 835.1)",6.6870008
C42H57N5O6,1,1,1,66861,94502,117099,62843,1,58038,1,1,1,1,1,1,1,1,1,1,1,64504,1,1,1,1,1,1,364599,914347,1,1,231053,1,1,1,1,1,1,1,1,1,244787,414216,834658,359965,1,190683,1,213274,1,1,,"C42H57N5O6 [ C42 H57 N5 O6, tgt=, overall=88.47, db=88.47 ]",,,C42H57N5O6,FindByFormula,C42 H57 N5 O6,51,,727.4364,"(726.4236, 8734.71)(727.4271, 3416.94)(728.4298, 1434.8)",14.966002
C26H18F2N2O,1,1,1,80503,90205,57038,77583,57074,85389,18076,1,62522,1,1,1,1,46067,1,74741,38183,77247,1,101687,55742,1,1,1,1,38161,1,1,93791,1,1,1,25670,1,1,1,39415,43772,50231,30679,29609,32503,296432,229701,331435,194317,184275,106645,,"C26H18F2N2O [ C26 H18 F2 N2 O, tgt=, overall=86.99, db=86.99 ]",,,C26H18F2N2O,FindByFormula,C26 H18 F2 N2 O,51,,412.1407,"(411.132, 18414.8)(412.1355, 3710.66)(413.1384, 766.05)",6.5520015
C34H51NO5S,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,80283,1,1,1,1,400402,1,91068,304404,60662,1,1,53150,45441,169880,91672,1,1,1,1,1,1,,"C34H51NO5S [ C34 H51 N O5 S, tgt=, overall=91.44, db=91.44 ]",,,C34H51NO5S,FindByFormula,C34 H51 N O5 S,51,,585.3488,"(584.3425, 13367.89)(585.3457, 4510.52)(586.3478, 1126.31)",10.693998
C37H60B2O4,1,1,1,100776,1,118572,1,1,1,1,1,85799,108800,94105,1,1,1,1,1,1,1,1,1,80504,1,1,1,352964,497759,526361,1,1,655808,155388,1,92499,535644,154163,607896,1,1,122658,168148,774487,173123,1,1,1,99919,79042,1,,"C37H60B2O4 [ C37 H60 B2 O4, tgt=, overall=28.23, db=28.23 ]",,,C37H60B2O4,FindByFormula,C37 H60 B2 O4,51,,590.4567,"(589.4545, 9871.05)(590.4578, 3686.51)",12.696002
C15H23N5O15P2,1,1,1,30712,11960,16796,1,1,15037,1,1,21183,17455,16915,12240,1,16078,11180,17940,1,27303,1,1,24485,23068,1,35891,164966,209699,274977,83624,217771,347419,126644,73246,70805,219827,183697,211931,106344,98441,75917,103694,115871,122419,65283,95384,77737,71378,116706,73138,,"C15H23N5O15P2 [ C15 H23 N5 O15 P2, tgt=, overall=80.57, db=80.57 ]",,,C15H23N5O15P2,FindByFormula,C15 H23 N5 O15 P2,51,,575.0638,"(574.056, 41327.36)(575.059, 6109.12)(576.0605, 1701.79)",1.1790006
1069.7065@13.20899,1,1,1,30366,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33607,1,1,1,1,1,1,105700,191110,339159,1,25110,52281,89114,1,1,63815,56130,68332,1,1,1,35059,41839,23994,1,1,1,1,1,49766,,,,,1069.7065@13.20899,FindByFormula,,51,,1069.7065,"(1068.6757, 25344.93)(1069.679, 14569.93)(1070.6819, 5649.13)(1071.6866, 1691.67)",13.20899
C30H52O4,1,1,1,42729,1,53556,1,1,1,1,1,1,49313,42263,1,43909,1,1,1,1,1,1,1,57310,1,39534,1,124590,188802,230103,1,1,294582,95522,37759,39785,306796,96882,332706,1,1,53523,65810,279061,71833,1,1,1,1,1,41992,,"C30H52O4 [ C30 H52 O4, tgt=, overall=47.26, db=47.26 ]",,,C30H52O4,FindByFormula,C30 H52 O4,51,,476.392,"(475.3842, 11816.07)(476.3878, 3798.27)",12.875999
C21H32N 11.979003,1,1,1,44413,1,16423,18168,1,22184,17265,1,19054,14560,19548,1,31774,29676,25118,33698,1,27328,1,14802,43998,1,35204,21384,104817,175049,134489,1,48149,68160,30773,22399,27366,93720,27317,107268,26694,31160,36477,61857,324506,52391,1,28625,1,19123,16713,1,,"C21H32N [ C21 H32 N, tgt=, overall=78.75, db=78.75 ]",,,C21H32N 11.979003,FindByFormula,C21 H32 N,51,,298.2534,"(297.247, 20091.12)(298.2504, 4133.53)",11.979003
C10H8F3NO3 6.4370003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,317232,358223,312111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,"C10H8F3NO3 [ C10 H8 F3 N O3, tgt=, overall=87.18, db=87.18 ]",,,C10H8F3NO3 6.4370003,FindByFormula,C10 H8 F3 N O3,51,,247.0457,"(246.0384, 34258.21)(247.0419, 4072.83)",6.4370003
C26H48O5,1,1,1,53968,1,67643,1,1,1,94319,1,79232,78649,26330,1,1,87396,1,1,1,1,71463,83769,1,1,1,1,63301,98196,157592,1,59255,318551,139054,86091,46902,279930,29130,301592,41292,48473,142931,117953,267061,46478,1,54526,1,93932,105489,36358,,"C26H48O5 [ C26 H48 O5, tgt=, overall=44.37, db=44.37 ]",,,C26H48O5,FindByFormula,C26 H48 O5,51,,440.3539,"(439.3484, 33937.57)(440.3515, 9871.11)",12.3709955
